symbol,train_hit_rate,test_hit_rate,test_mean_excess
PVLA,0.2857142857142857,0.5,354.6484
AXTI,0.2857142857142857,0.5,295.41565
CTMX,0.14285714285714285,0.5,283.8778
CVNA,0.6666666666666666,1.0,192.00064
LITE,0.2857142857142857,1.0,174.1578
TPC,0.0,1.0,150.87216
SEI,0.16666666666666666,1.0,146.09116
VFF,0.2,0.5,144.39088
AGX,0.42857142857142855,1.0,136.28525
XCUR,0.0,0.5,133.37965
EBS,0.42857142857142855,1.0,122.9321
NAGE,0.14285714285714285,0.5,121.89437
ADMA,0.2857142857142857,0.5,117.41362
CIEN,0.42857142857142855,1.0,112.62125
PGEN,0.14285714285714285,0.5,111.43567
NKTR,0.14285714285714285,1.0,103.81995
RAIL,0.2857142857142857,0.5,102.76245
IESC,0.42857142857142855,1.0,100.71363
LASR,0.4,0.5,98.27222
AXGN,0.2857142857142857,1.0,97.23489
GORO,0.2857142857142857,0.5,97.10037
ATRO,0.42857142857142855,0.5,96.269684
MU,0.5714285714285714,0.5,93.46877
FIX,0.7142857142857143,1.0,92.77005
HRTG,0.14285714285714285,1.0,91.866714
CRS,0.5714285714285714,1.0,91.61502
ANAB,0.42857142857142855,0.5,90.14487
VTVT,0.0,1.0,89.45677
HROW,0.42857142857142855,1.0,85.59053
NVDA,0.7142857142857143,1.0,85.07736
UI,0.7142857142857143,1.0,83.48728
CORT,0.5714285714285714,0.5,82.97857
COHR,0.2857142857142857,1.0,82.39708
ETON,0.2,1.0,82.38342
SMTC,0.2857142857142857,1.0,80.43922
ARWR,0.5714285714285714,0.5,77.44493
PRIM,0.42857142857142855,1.0,76.163025
AEVA,0.25,1.0,75.804245
USLM,0.5714285714285714,0.5,71.99916
LQDA,0.6,0.5,71.7189
STRL,0.7142857142857143,1.0,68.680695
HIMS,0.75,1.0,68.040375
GHM,0.2857142857142857,1.0,66.3446
FLXS,0.14285714285714285,0.5,63.962345
CENX,0.5714285714285714,1.0,63.88523
FOA,0.0,0.5,63.025146
LCTX,0.14285714285714285,0.5,61.71354
AVGO,0.8571428571428571,1.0,61.711716
RIGL,0.2857142857142857,0.5,59.44677
WBD,0.14285714285714285,0.5,58.704964
VHC,0.42857142857142855,0.5,55.391785
NRG,0.42857142857142855,1.0,55.288036
GLW,0.5714285714285714,1.0,53.925938
ASYS,0.42857142857142855,1.0,53.18743
IDCC,0.14285714285714285,1.0,52.69771
SANM,0.42857142857142855,1.0,52.679005
EME,0.5714285714285714,1.0,52.128365
CNVS,0.14285714285714285,0.5,51.74653
DY,0.5714285714285714,1.0,51.181744
WWW,0.2857142857142857,0.5,50.343307
APH,0.8571428571428571,1.0,49.19714
SITM,0.5,1.0,48.51139
MTZ,0.5714285714285714,1.0,47.676075
ENVA,0.5714285714285714,1.0,46.85166
RVMD,0.5,1.0,46.18298
LPCN,0.14285714285714285,1.0,46.12869
LRCX,0.7142857142857143,0.5,46.12445
ESTA,0.4,1.0,45.308174
MUX,0.0,0.5,45.268055
AXON,0.8571428571428571,0.5,43.900856
UUUU,0.42857142857142855,0.5,43.260277
MCY,0.14285714285714285,1.0,42.163116
VERI,0.16666666666666666,1.0,40.966972
FN,0.7142857142857143,0.5,39.629158
LGND,0.42857142857142855,1.0,39.48489
MSB,0.42857142857142855,1.0,39.261536
AORT,0.2857142857142857,1.0,39.008766
ZYME,0.5,1.0,37.794144
SFM,0.5714285714285714,0.5,37.718475
IMAX,0.0,1.0,37.244278
MLI,0.5714285714285714,1.0,36.320957
RL,0.42857142857142855,1.0,35.92601
PLMR,0.25,1.0,35.915596
TDAY,0.14285714285714285,0.5,35.74085
TRGP,0.2857142857142857,0.5,35.31968
NET,0.75,1.0,33.643204
QTWO,0.7142857142857143,0.5,33.531826
ARQ,0.14285714285714285,0.5,33.072643
APPS,0.5714285714285714,0.5,32.422077
ANET,0.7142857142857143,0.5,32.271797
KLAC,0.8571428571428571,0.5,31.17006
GSIT,0.42857142857142855,0.5,30.401115
RDNT,0.7142857142857143,0.5,30.097809
GOOGL,0.7142857142857143,1.0,29.891567
ALNT,0.42857142857142855,0.5,29.596405
GSAT,0.42857142857142855,0.5,29.523273
GOOG,0.7142857142857143,1.0,29.301159
WWD,0.5714285714285714,0.5,28.877838
AVTX,0.42857142857142855,0.5,28.56351
VCTR,0.6666666666666666,0.5,27.550224
DAN,0.2857142857142857,0.5,27.340906
ECOR,0.2,0.5,27.335075
CNK,0.2857142857142857,0.5,27.136745
CMI,0.5714285714285714,1.0,27.0494
IRMD,0.5714285714285714,0.5,26.858862
FET,0.14285714285714285,0.5,26.720596
FTI,0.2857142857142857,1.0,26.714836
SND,0.14285714285714285,0.5,26.389408
NFLX,0.5714285714285714,0.5,26.194122
GTX,0.4,0.5,25.772045
HWKN,0.5714285714285714,1.0,25.670876
AMRX,0.2,1.0,25.60714
IONS,0.42857142857142855,0.5,25.287289
PIPR,0.5714285714285714,0.5,25.09184
NGS,0.2857142857142857,1.0,24.825603
PNTG,0.5,0.5,24.774624
TBRG,0.2857142857142857,0.5,24.528671
AVPT,0.5,0.5,24.481506
EVR,0.5714285714285714,1.0,23.859293
AEIS,0.7142857142857143,0.5,23.837643
RVLV,0.5,0.5,23.690193
CDZI,0.0,0.5,23.181446
PCRX,0.2857142857142857,0.5,23.180283
TCMD,0.42857142857142855,0.5,23.044563
MRCY,0.42857142857142855,0.5,22.712719
VNDA,0.14285714285714285,0.5,22.681324
EYE,0.16666666666666666,0.5,22.588493
IRTC,0.42857142857142855,0.5,21.884678
HNRG,0.2857142857142857,0.5,21.83243
UNFI,0.2857142857142857,1.0,21.726871
IHRT,0.25,0.5,21.57929
URBN,0.2857142857142857,1.0,21.202427
ORN,0.14285714285714285,1.0,21.152275
NTGR,0.14285714285714285,0.5,20.891544
AUPH,0.7142857142857143,0.5,20.508831
TPL,0.7142857142857143,0.5,20.433325
CASY,0.2857142857142857,1.0,20.302399
ALSN,0.5714285714285714,0.5,20.13522
NGL,0.14285714285714285,0.5,20.089567
P,0.8571428571428571,0.5,20.02821
AWI,0.7142857142857143,1.0,19.975471
EVC,0.14285714285714285,0.5,19.551552
CCLD,0.42857142857142855,0.5,19.330032
OUT,0.2857142857142857,1.0,19.255627
WSM,0.7142857142857143,0.5,19.113905
SPNT,0.2857142857142857,1.0,18.936
PH,0.7142857142857143,1.0,18.800575
TSLA,0.8571428571428571,1.0,18.768549
MDU,0.14285714285714285,0.5,18.723352
ORCL,0.8571428571428571,1.0,18.530231
META,0.5714285714285714,0.5,18.315144
REZI,0.2,1.0,18.126774
JEF,0.5714285714285714,0.5,17.889633
EXPE,0.42857142857142855,0.5,17.879469
WT,0.42857142857142855,1.0,17.74233
CNX,0.2857142857142857,0.5,17.562243
RGLD,0.5714285714285714,0.5,17.433561
SNEX,0.42857142857142855,1.0,17.151237
AMG,0.5714285714285714,0.5,17.05848
VIAV,0.2857142857142857,0.5,16.868204
VIRT,0.2857142857142857,0.5,16.675186
MEDP,0.8571428571428571,0.5,16.45059
TNL,0.2857142857142857,1.0,16.28954
SF,0.5714285714285714,1.0,16.223133
SCCO,0.7142857142857143,0.5,16.20791
UAN,0.42857142857142855,0.5,15.545381
VUZI,0.14285714285714285,0.5,15.480914
TER,0.7142857142857143,0.5,15.343899
MGNI,0.42857142857142855,0.5,15.126303
NPKI,0.42857142857142855,0.5,14.850455
APO,0.7142857142857143,0.5,14.223534
OPY,0.7142857142857143,0.5,14.031202
CALM,0.2857142857142857,0.5,13.981884
DCO,0.5714285714285714,0.5,13.907337
MMM,0.14285714285714285,1.0,13.695991
WMB,0.2857142857142857,0.5,13.443816
JLL,0.42857142857142855,1.0,13.4017935
HEI,0.5714285714285714,1.0,13.374686
GKOS,0.5714285714285714,0.5,13.180553
OPRX,0.5714285714285714,0.5,13.166885
ONC,0.5714285714285714,0.5,12.935865
FPH,0.16666666666666666,0.5,12.919331
NVT,0.6,0.5,12.781536
KKR,0.7142857142857143,0.5,12.691856
CTRE,0.2857142857142857,1.0,12.509554
HAS,0.14285714285714285,0.5,12.471235
TREE,0.42857142857142855,1.0,12.424279
BLBD,0.2857142857142857,1.0,12.416053
TEL,0.42857142857142855,0.5,12.413776
EXEL,0.42857142857142855,1.0,12.348604
HALO,0.42857142857142855,1.0,12.224615
FHN,0.2857142857142857,1.0,12.0463085
R,0.5714285714285714,1.0,11.797512
SUPN,0.2857142857142857,1.0,11.613988
CVSA,0.5714285714285714,0.5,11.21406
PJT,0.5714285714285714,0.5,11.161007
ISRG,0.7142857142857143,0.5,11.090409
MRVL,0.7142857142857143,0.5,11.009792
DGII,0.5714285714285714,0.5,10.885478
BHE,0.2857142857142857,0.5,10.864591
AYI,0.14285714285714285,1.0,10.8052025
ORI,0.42857142857142855,1.0,10.675901
KMI,0.2857142857142857,0.5,10.594667
ITIC,0.42857142857142855,0.5,10.566724
AMD,0.7142857142857143,0.5,10.549467
CBRE,0.42857142857142855,1.0,10.510181
AMAT,0.7142857142857143,0.5,10.485244
CVCO,0.5714285714285714,1.0,10.252487
LXFR,0.2857142857142857,0.5,9.729153
CARG,0.3333333333333333,0.5,9.545792
ATYR,0.2857142857142857,0.5,9.283852
LDOS,0.42857142857142855,1.0,9.199281
FHI,0.42857142857142855,1.0,8.756865
FICO,0.8571428571428571,0.5,8.556641
MPLX,0.2857142857142857,1.0,8.461553
CSTL,0.25,0.5,8.244534
WTTR,0.5,0.5,8.162266
HII,0.42857142857142855,0.5,8.055336
PSMT,0.2857142857142857,1.0,7.8903446
GTES,0.0,0.5,7.755376
NMRK,0.5,0.5,7.5302362
PLPC,0.42857142857142855,0.5,7.469041
UGI,0.42857142857142855,0.5,7.457162
COKE,0.5714285714285714,1.0,7.445258
USFD,0.5714285714285714,0.5,7.426525
RBC,0.5714285714285714,0.5,7.1423225
NFG,0.2857142857142857,0.5,7.008112
MKSI,0.42857142857142855,0.5,6.8772373
PPC,0.5714285714285714,0.5,6.8376236
XPO,0.5714285714285714,0.5,6.7437525
CINF,0.5714285714285714,0.5,6.4497824
WES,0.2857142857142857,0.5,6.381505
FWONK,0.42857142857142855,0.5,6.0170536
TTWO,0.42857142857142855,0.5,5.919927
PARR,0.5714285714285714,0.5,5.888653
FCFS,0.42857142857142855,0.5,5.858824
HLT,0.7142857142857143,0.5,5.7484026
FRHC,1.0,0.5,5.704318
FWONA,0.42857142857142855,0.5,5.324639
RM,0.14285714285714285,1.0,5.2080994
GDDY,0.7142857142857143,0.5,5.201496
CSW,0.8571428571428571,0.5,5.1287994
BKNG,0.42857142857142855,0.5,4.977096
DDS,0.5714285714285714,0.5,4.9755936
COLL,0.2857142857142857,0.5,4.929428
CTRN,0.42857142857142855,0.5,4.8770084
LMAT,0.42857142857142855,0.5,4.8321714
HCC,0.5,0.5,4.7961445
JBTM,0.42857142857142855,1.0,4.508828
GRNQ,0.2,0.5,4.459244
MPWR,0.8571428571428571,0.5,4.416814
AGYS,0.5714285714285714,0.5,4.3864355
RBA,0.5714285714285714,0.5,4.211688
WTFC,0.2857142857142857,0.5,3.9861922
LPLA,0.7142857142857143,0.5,3.9166937
OSW,0.6666666666666666,0.5,3.8750825
LYV,0.7142857142857143,0.5,3.8611827
DORM,0.14285714285714285,0.5,3.838004
AMZN,0.5714285714285714,0.5,3.7716684
KEY,0.2857142857142857,0.5,3.6776247
CWK,0.4,0.5,3.67657
IDT,0.2857142857142857,0.5,3.6656866
HLI,0.8571428571428571,0.5,3.6595764
SBRA,0.2857142857142857,1.0,3.626233
IMO,0.42857142857142855,0.5,3.593647
IBP,0.7142857142857143,0.5,3.510272
ARES,0.7142857142857143,0.5,3.268237
NVCR,0.7142857142857143,0.5,3.2302475
MNKD,0.42857142857142855,0.5,3.170683
CG,0.5714285714285714,1.0,3.1625872
NHC,0.42857142857142855,0.5,3.0327263
BDC,0.42857142857142855,0.5,2.9631672
BANC,0.2857142857142857,0.5,2.889514
TBCH,0.42857142857142855,0.5,2.8870068
EA,0.5714285714285714,0.5,2.714879
LAZ,0.2857142857142857,0.5,2.687234
AM,0.6666666666666666,1.0,2.5918188
WRB,0.42857142857142855,0.5,2.5882006
VCYT,0.42857142857142855,0.5,2.5160255
PNR,0.42857142857142855,0.5,2.3577995
TDG,0.5714285714285714,0.5,2.2918172
FBIO,0.2857142857142857,0.5,2.2539406
EQH,0.6,0.5,2.1904345
INCY,0.2857142857142857,0.5,1.9931974
CHWY,0.25,0.5,1.9120283
BURL,0.42857142857142855,0.5,1.8792505
FTNT,0.7142857142857143,0.5,1.8642483
OLLI,0.7142857142857143,0.5,1.8464212
TRMB,0.42857142857142855,0.5,1.75733
ALK,0.0,0.5,1.756197
TXRH,0.5714285714285714,0.5,1.4538021
L,0.2857142857142857,0.5,1.2267895
PGR,0.5714285714285714,0.5,1.0763435
SCHW,0.42857142857142855,0.5,1.0284672
MKL,0.2857142857142857,0.5,0.87297535
SSNC,0.5714285714285714,0.5,0.44916916
HMN,0.14285714285714285,0.5,0.44478226
RJF,0.42857142857142855,0.5,0.42691898
PLNT,0.5714285714285714,0.5,0.4154272
CPRI,0.42857142857142855,0.5,0.3801117
QCRH,0.42857142857142855,0.5,0.14453602
URI,0.8571428571428571,0.5,0.060266495
ESPR,0.2857142857142857,0.5,-0.03702545
HBAN,0.14285714285714285,0.5,-0.17908764
AIZ,0.42857142857142855,0.5,-0.20645237
ET,0.42857142857142855,0.5,-0.2578287
EVRG,0.42857142857142855,0.5,-0.38043213
SNX,0.5714285714285714,0.5,-0.39971447
GCMG,0.2,0.5,-0.4922266
DK,0.2857142857142857,0.5,-0.50717926
FSLR,0.5714285714285714,0.5,-0.5680971
ATEN,0.42857142857142855,0.5,-0.62254906
ADI,0.7142857142857143,0.5,-0.77466965
PLXS,0.2857142857142857,0.5,-0.8786173
FSS,0.8571428571428571,0.5,-0.9044466
ENB,0.42857142857142855,0.0,-0.94227123
MCRI,0.42857142857142855,0.5,-1.0507517
MAR,0.7142857142857143,0.5,-1.2314439
EXLS,0.5714285714285714,0.5,-1.2372084
CRUS,0.14285714285714285,0.5,-1.2401228
TGLS,0.5714285714285714,0.5,-1.2744751
ADEA,0.42857142857142855,0.5,-1.3162193
IDXX,0.8571428571428571,0.5,-1.3194637
AEO,0.5714285714285714,0.5,-1.4062843
MSGS,0.2857142857142857,0.0,-1.4289913
RMD,0.5714285714285714,0.5,-1.4320078
ORLY,0.42857142857142855,0.0,-1.460969
SFIX,0.3333333333333333,0.5,-1.5349855
REX,0.2857142857142857,0.5,-1.7088051
HQY,0.2857142857142857,0.5,-1.982193
APPF,0.8571428571428571,0.5,-2.0112305
CBOE,0.5714285714285714,0.5,-2.0561333
WHG,0.14285714285714285,0.5,-2.1755266
WTS,0.5714285714285714,0.5,-2.322793
NPO,0.5714285714285714,0.5,-2.3392677
KEX,0.42857142857142855,0.5,-2.346993
MYE,0.42857142857142855,0.5,-2.3783836
FIVE,0.5714285714285714,0.5,-2.3931274
RNR,0.42857142857142855,0.0,-2.4650393
CB,0.2857142857142857,0.0,-2.5838432
KR,0.42857142857142855,0.5,-2.7099662
SHAK,0.5714285714285714,0.5,-2.8177738
HUBB,0.5714285714285714,0.5,-3.1592722
CNP,0.42857142857142855,0.5,-3.1844788
WYNN,0.42857142857142855,0.5,-3.2661572
COST,0.8571428571428571,0.5,-3.3375196
VPG,0.42857142857142855,0.5,-3.4536343
HLF,0.2857142857142857,0.5,-3.5397797
OPRT,0.0,0.5,-3.5452356
NGVT,0.42857142857142855,0.5,-3.594036
AN,0.7142857142857143,0.5,-3.6024866
BKR,0.14285714285714285,0.0,-3.829276
CWEN,0.5714285714285714,0.5,-3.982644
LSAK,0.2857142857142857,0.5,-3.9887905
NXST,0.7142857142857143,0.5,-3.9985352
PODD,0.7142857142857143,0.0,-4.043174
NMIH,0.7142857142857143,0.0,-4.1061335
LYFT,0.25,0.5,-4.1076508
CCO,0.42857142857142855,0.5,-4.170027
FORM,0.5714285714285714,0.5,-4.2052326
EQT,0.42857142857142855,0.0,-4.2181664
DG,0.7142857142857143,0.5,-4.238106
NEU,0.42857142857142855,0.5,-4.2514715
LVS,0.42857142857142855,0.5,-4.270314
INGN,0.2857142857142857,0.5,-4.3734856
BJ,0.6,0.5,-4.3995976
UPWK,0.4,0.5,-4.40079
PKG,0.7142857142857143,0.5,-4.4366198
EPD,0.2857142857142857,0.5,-4.4389906
PPL,0.42857142857142855,0.0,-4.550111
PAGP,0.2857142857142857,0.0,-4.6646175
TRUP,0.42857142857142855,0.5,-4.6851015
RRR,0.42857142857142855,0.5,-4.8066463
GPI,0.7142857142857143,0.5,-4.849929
MCO,0.8571428571428571,0.0,-4.8834143
AHCO,0.2,0.5,-4.8942213
DOCU,0.4,0.5,-5.079302
PRLB,0.5714285714285714,0.5,-5.08753
PAA,0.42857142857142855,0.0,-5.3360405
BHR,0.0,0.5,-5.4078045
UBER,0.5,0.5,-5.4629507
KOPN,0.42857142857142855,0.5,-5.6497154
TMUS,0.42857142857142855,0.5,-5.6634274
MEC,0.5,0.5,-5.703967
ZUMZ,0.42857142857142855,0.5,-5.7110996
LEVI,0.0,0.5,-5.837631
CIVB,0.42857142857142855,0.0,-5.964255
GLRE,0.2857142857142857,0.0,-6.014489
DECK,0.7142857142857143,0.5,-6.0581093
GDOT,0.42857142857142855,0.5,-6.130665
PSTL,0.0,0.5,-6.1604443
WHWK,0.3333333333333333,0.5,-6.3129168
MSFT,0.8571428571428571,0.0,-6.3531036
INSW,0.5714285714285714,0.5,-6.420723
CPRX,0.5714285714285714,0.0,-6.582814
ULTA,0.42857142857142855,0.5,-6.6216755
ROST,0.5714285714285714,0.5,-6.64137
AFG,0.42857142857142855,0.0,-6.853718
NATH,0.2857142857142857,0.5,-6.9035053
STC,0.5714285714285714,0.0,-6.976056
BKE,0.5714285714285714,0.0,-7.096952
TW,0.75,0.5,-7.119605
BX,0.8571428571428571,0.5,-7.1418314
ROKU,0.5,0.5,-7.2132664
AZO,0.5714285714285714,0.0,-7.290142
LPX,0.5714285714285714,0.5,-7.313319
ASTE,0.14285714285714285,0.5,-7.315487
ALB,0.5714285714285714,0.5,-7.346306
ALTO,0.14285714285714285,0.5,-7.487587
CTAS,0.8571428571428571,0.0,-7.504243
MLM,0.42857142857142855,0.5,-7.5918436
GWW,0.7142857142857143,0.5,-7.6117935
VMC,0.5714285714285714,0.0,-7.6545534
XOMA,0.5714285714285714,0.5,-7.7636356
PANW,0.5714285714285714,0.5,-7.8626213
NSSC,0.7142857142857143,0.5,-7.8951473
RUN,0.2857142857142857,0.5,-7.9247284
DIS,0.42857142857142855,0.0,-7.967203
ASB,0.2857142857142857,0.0,-8.0171585
GAP,0.42857142857142855,0.0,-8.173901
ADSK,0.7142857142857143,0.5,-8.217007
NOW,0.7142857142857143,0.5,-8.378093
NTCT,0.14285714285714285,0.5,-8.412927
PEN,0.5714285714285714,0.5,-8.512703
DGX,0.42857142857142855,0.0,-8.520298
CTO,0.2857142857142857,0.0,-8.60421
SNA,0.42857142857142855,0.0,-8.623678
GNK,0.5714285714285714,0.5,-8.749535
HASI,0.42857142857142855,0.5,-8.804661
BHF,0.3333333333333333,0.5,-8.828932
MCS,0.2857142857142857,0.5,-8.867764
HLNE,0.8571428571428571,0.5,-8.910155
WSFS,0.14285714285714285,0.0,-8.946848
CFR,0.2857142857142857,0.5,-8.964345
ESNT,0.5714285714285714,0.5,-9.0123415
QCOM,0.42857142857142855,0.0,-9.032797
NOC,0.5714285714285714,0.5,-9.068316
DLR,0.5714285714285714,0.5,-9.127376
MELI,0.5714285714285714,0.0,-9.137517
EPRT,0.6,0.0,-9.199446
HESM,0.5,0.5,-9.24232
BRO,0.7142857142857143,0.5,-9.377736
GFF,0.5714285714285714,0.0,-9.55168
IRT,0.5714285714285714,0.5,-9.662547
DKL,0.42857142857142855,0.0,-9.749348
ADC,0.2857142857142857,0.0,-9.8651705
ZM,0.25,0.0,-9.90303
CPK,0.5714285714285714,0.0,-9.932465
KO,0.2857142857142857,0.0,-9.977769
CRON,0.16666666666666666,0.5,-10.09691
ZG,0.42857142857142855,0.5,-10.107698
MDT,0.2857142857142857,0.5,-10.177955
VCEL,0.5714285714285714,0.5,-10.41542
Z,0.42857142857142855,0.5,-10.490084
MUSA,0.8571428571428571,0.5,-10.548991
KE,0.2857142857142857,0.5,-10.619431
DTE,0.2857142857142857,0.0,-10.75095
GRBK,0.7142857142857143,0.0,-10.751652
FNF,0.5714285714285714,0.0,-10.776544
XYL,0.5714285714285714,0.5,-10.776942
PFS,0.2857142857142857,0.0,-10.833961
GOLD,0.42857142857142855,0.5,-10.866174
MTRX,0.2857142857142857,0.0,-10.867378
EVI,0.14285714285714285,0.5,-10.8943615
FDX,0.42857142857142855,0.0,-10.984295
TSCO,0.5714285714285714,0.0,-10.987609
SYK,0.7142857142857143,0.0,-11.024031
YUM,0.5714285714285714,0.0,-11.046529
DCOM,0.42857142857142855,0.0,-11.145842
KMT,0.14285714285714285,0.5,-11.215913
ADUS,0.5714285714285714,0.5,-11.361139
DRI,0.5714285714285714,0.0,-11.387438
OFIX,0.2857142857142857,0.5,-11.393645
KNSL,0.8571428571428571,0.5,-11.452949
ADT,0.3333333333333333,0.5,-11.543595
LECO,0.42857142857142855,0.5,-11.554497
PCAR,0.42857142857142855,0.0,-11.56534
LII,0.42857142857142855,0.5,-11.618844
DE,0.5714285714285714,0.0,-11.73321
SPH,0.14285714285714285,0.0,-11.776942
WCN,0.5714285714285714,0.0,-11.821306
PFG,0.42857142857142855,0.5,-11.943798
SCI,0.5714285714285714,0.0,-11.947369
GSHD,0.6,0.5,-11.983798
KFY,0.42857142857142855,0.0,-12.03531
BMI,0.8571428571428571,0.5,-12.041047
EPR,0.5714285714285714,0.5,-12.059631
CDNS,1.0,0.0,-12.149549
PTON,0.25,0.5,-12.175817
DNOW,0.2857142857142857,0.0,-12.195217
SIGA,0.5714285714285714,0.0,-12.303334
CWST,0.8571428571428571,0.0,-12.326622
YUMC,0.42857142857142855,0.0,-12.343014
PRU,0.2857142857142857,0.0,-12.361717
VVX,0.42857142857142855,0.0,-12.384307
ALV,0.14285714285714285,0.5,-12.391928
MPT,0.2857142857142857,0.5,-12.482193
GBX,0.5714285714285714,0.5,-12.509164
MMSI,0.5714285714285714,0.5,-12.611359
IIIV,0.2,0.0,-12.863016
BOX,0.42857142857142855,0.0,-12.864008
NTNX,0.5714285714285714,0.5,-12.906344
PHM,0.7142857142857143,0.0,-12.909847
VEEV,0.5714285714285714,0.0,-13.226784
LNG,0.5714285714285714,0.5,-13.255209
UCB,0.42857142857142855,0.0,-13.371384
KRG,0.42857142857142855,0.0,-13.417011
RRC,0.5714285714285714,0.0,-13.442636
ATRC,0.2857142857142857,0.5,-13.471761
RBB,0.3333333333333333,0.0,-13.506347
SKY,0.5714285714285714,0.0,-13.69062
HR,0.14285714285714285,0.0,-13.972218
PSN,0.5,0.5,-13.977181
GLP,0.7142857142857143,0.0,-14.146769
MTD,0.7142857142857143,0.0,-14.3059435
LOW,0.7142857142857143,0.0,-14.488035
CHSCL,0.2857142857142857,0.0,-14.584624
PINE,0.5,0.0,-14.992254
RUSHA,0.8571428571428571,0.0,-15.089088
SGU,0.14285714285714285,0.0,-15.093738
CEVA,0.2857142857142857,0.5,-15.171346
CRTO,0.2857142857142857,0.5,-15.289215
XHR,0.14285714285714285,0.0,-15.337079
CQP,0.2857142857142857,0.0,-15.345066
CELH,0.8571428571428571,0.5,-15.407593
CHSCM,0.2857142857142857,0.0,-15.4504
INVX,0.2857142857142857,0.5,-15.552689
CWCO,0.42857142857142855,0.5,-15.570244
RILY,0.42857142857142855,0.0,-15.596735
POST,0.2857142857142857,0.0,-15.606642
SBH,0.14285714285714285,0.5,-15.723589
BAND,0.5,0.0,-15.766126
RUSHB,0.7142857142857143,0.0,-15.790784
ADTN,0.42857142857142855,0.0,-15.80011
CRM,0.5714285714285714,0.5,-15.849676
INTU,0.8571428571428571,0.0,-15.906149
AYTU,0.0,0.5,-15.916815
UBSI,0.14285714285714285,0.0,-15.97777
HRI,0.7142857142857143,0.5,-15.992606
JOE,0.42857142857142855,0.5,-15.996531
WMS,0.7142857142857143,0.5,-16.025785
FRPT,0.7142857142857143,0.5,-16.036194
MATX,0.5714285714285714,0.0,-16.048859
PLUS,0.2857142857142857,0.5,-16.1991
